City ID,City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
286,3576994,Cockburn Town,TC,21.4612,-71.1419,79.45,75,13,18.28
287,1215350,Bireun,ID,5.203,96.7009,77.95,81,96,4.21
288,3445026,Vila Velha,BR,-20.3297,-40.2925,75.94,85,75,14.0
289,986717,Kruisfontein,ZA,-34.0033,24.7314,63.88,62,97,5.53
290,3393922,Nísia Floresta,BR,-6.0911,-35.2086,79.61,84,57,8.23
291,3471872,Aracaju,BR,-10.9111,-37.0717,80.55,74,40,8.05
292,3840300,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,64.9,40,2,5.59
293,5969025,Haines Junction,CA,60.7522,-137.5108,42.4,95,100,3.71
294,1809498,Guilin,CN,25.2819,110.2864,65.35,92,87,2.39
295,4566022,Loíza,PR,18.4313,-65.8802,85.51,70,40,13.8
296,3567869,Banes,CU,20.9625,-75.7186,86.61,76,35,15.37
297,2033196,Zhangjiakou,CN,40.81,114.8794,48.22,39,92,1.19
298,1489822,Tegul'det,RU,57.3064,88.1667,47.28,94,96,5.19
299,5983720,Iqaluit,CA,63.7506,-68.5145,22.69,53,50,5.01
300,5594956,Hailey,US,43.5196,-114.3153,57.06,47,40,9.22
301,539385,Kuloy,RU,61.0305,42.4925,50.11,81,99,10.76
302,2021031,Kyren,RU,51.6828,102.1408,44.83,96,100,3.31
303,3183284,Alghero,IT,40.5589,8.3181,60.89,88,75,3.44
304,5954718,Flin Flon,CA,54.7682,-101.865,54.93,89,100,9.62
305,1278935,Amalāpuram,IN,16.5833,82.0167,84.6,46,100,5.73
306,1734781,Banting,MY,2.8167,101.5,78.55,92,95,2.66
307,3470137,Belmonte,BR,-15.8631,-38.8828,79.3,77,91,11.56
308,964420,Port Elizabeth,ZA,-33.918,25.5701,66.09,70,100,10.71
309,286621,Salalah,OM,17.0151,54.0924,86.09,66,75,8.05
310,3440034,Tacuarembó,UY,-31.7333,-55.9833,51.31,75,30,6.98
311,5887916,Athabasca,CA,54.7169,-113.2854,58.53,66,100,20.78
312,2644605,Lerwick,GB,60.1545,-1.1494,46.4,93,89,9.66
313,1035025,Nacala,MZ,-14.5428,40.6728,68.63,70,56,12.35
314,933995,Souillac,MU,-20.5167,57.5167,72.82,78,76,13.15
315,1256486,Shirgaon,IN,19.7,72.7,83.7,78,30,8.84
316,8079926,Labuhan,ID,-6.8844,112.2051,76.84,89,31,5.93
317,3604181,Oropolí,HN,13.8167,-86.8167,92.3,45,98,6.93
318,1267390,Kavaratti,IN,10.5669,72.642,83.79,75,95,12.75
319,2122293,Ozernovskiy,RU,51.5,156.5167,42.58,65,86,2.28
320,2208248,Kaitangata,NZ,-46.2817,169.8464,41.94,86,5,4.79
321,5363208,King City,US,36.2127,-121.126,81.3,18,5,8.48
322,293842,Kiryat Gat,IL,31.61,34.7642,70.54,72,0,2.1
323,1259108,Kasba,IN,25.85,87.55,90.03,52,99,5.28
324,5404476,Ukiah,US,39.1502,-123.2078,76.87,28,1,11.5
325,1609278,Laem Sing,TH,12.4816,102.0738,78.94,81,100,11.1
326,2643044,Margate,GB,51.3813,1.3862,47.84,83,41,10.31
327,897045,Solwezi,ZM,-12.1688,26.3894,51.33,83,5,4.54
328,3452085,Queimadas,BR,-10.9783,-39.6264,78.19,42,53,7.07
329,6165406,Thompson,CA,55.7435,-97.8558,50.16,93,90,2.3
330,1735902,Sibu,MY,2.3,111.8167,73.4,98,100,2.35
331,3467261,Capinzal,BR,-27.3436,-51.6119,49.84,78,3,2.01
